rig-0s3	closed	jev-build.prepare	-	pass	2026-09-26T02:21:48Z	1790389307.1883852	1790389307.297344
rig-7cd	closed	jev-build.implement	-	pass	2026-09-26T02:21:57Z	1790389316.4631672	1790389316.6673052
rig-0ql	closed	jev-build.summarize-implementation	-	pass	2026-09-26T02:22:05Z	1790389324.6232104	1790389324.9003284
rig-9yq	closed	jev-build.review	-	pass	2026-09-26T02:22:14Z	1790389333.2321675	1790389334.1261256
rig-bpt	closed	jev-build.review.item.1.review-loop.iteration.1.jev-build.review.item.1.acceptance-review	-	pass	2026-09-26T02:22:29Z	1790389346.7912104	1790389348.3355098
rig-83f	closed	jev-build.review.item.1.review-loop.iteration.1.jev-build.review.item.1.simplicity-review	-	pass	2026-09-26T02:22:29Z	1790389345.8562524	1790389349.122826
rig-4n3	closed	jev-build.review.item.1.review-loop.iteration.1.jev-build.review.item.1.test-evidence-review	-	pass	2026-09-26T02:22:30Z	1790389345.4962454	1790389349.790284
rig-idi	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.1.jev-build.review.item.1.test-evidence-review-scope-check	scope-check	pass	2026-09-26T02:22:32Z	-	-
rig-oyj	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.1.jev-build.review.item.1.acceptance-review-scope-check	scope-check	pass	2026-09-26T02:22:33Z	-	-
rig-zh0	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.1.jev-build.review.item.1.simplicity-review-scope-check	scope-check	pass	2026-09-26T02:22:34Z	-	-
rig-cme	closed	jev-build.review.item.1.review-loop.iteration.1.jev-build.review.item.1.synthesize	-	pass	2026-09-26T02:22:41Z	1790389360.259016	1790389360.8477113
rig-3q6	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.1.jev-build.review.item.1.synthesize-scope-check	scope-check	pass	2026-09-26T02:22:44Z	-	-
rig-ld9	closed	jev-build.review.item.1.review-loop.iteration.1.jev-build.review.item.1.apply	-	pass	2026-09-26T02:22:53Z	1790389371.9298012	1790389372.176847
rig-ums	closed	jev-build.review.item.1.review-loop.iteration.1	scope	pass	2026-09-26T02:22:55Z	1790389371.9298012	1790389372.176847
rig-nz8	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.1.jev-build.review.item.1.apply-scope-check	scope-check	pass	2026-09-26T02:22:55Z	-	-
rig-j7f	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2.jev-build.review.item.1.acceptance-review	task	pass	2026-09-26T02:23:16Z	1790389393.4272766	1790389395.6813636
rig-a0x	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2.jev-build.review.item.1.simplicity-review	task	pass	2026-09-26T02:23:17Z	1790389392.839933	1790389396.154148
rig-e5m	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2.jev-build.review.item.1.test-evidence-review	task	pass	2026-09-26T02:23:18Z	1790389393.164452	1790389397.4206238
rig-7i0	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2.jev-build.review.item.1.acceptance-review-scope-check	scope-check	pass	2026-09-26T02:23:20Z	-	-
rig-8kc	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2.jev-build.review.item.1.test-evidence-review-scope-check	scope-check	pass	2026-09-26T02:23:21Z	-	-
rig-9jv	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2.jev-build.review.item.1.simplicity-review-scope-check	scope-check	pass	2026-09-26T02:23:22Z	-	-
rig-mek	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2.jev-build.review.item.1.synthesize	task	pass	2026-09-26T02:23:26Z	1790389404.77865	1790389405.6262004
rig-vzc	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2.jev-build.review.item.1.synthesize-scope-check	scope-check	pass	2026-09-26T02:23:27Z	-	-
rig-v1a	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2.jev-build.review.item.1.apply	task	pass	2026-09-26T02:23:38Z	1790389417.5329018	1790389417.809162
rig-pk2	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2	scope	pass	2026-09-26T02:23:43Z	1790389417.5329018	1790389417.809162
rig-cg3	closed	jev-review-tail.jev-build.review.item.1.review-loop.iteration.2.jev-build.review.item.1.apply-scope-check	scope-check	pass	2026-09-26T02:23:43Z	-	-
rig-0o8	closed	jev-review-tail.jev-build.review.item.1.review-loop	ralph	pass	2026-09-26T02:23:46Z	1790389417.5329018	1790389417.809162
rig-nxv	closed	jev-review-tail.jev-build.review.item.1.review-final	-	pass	2026-09-26T02:23:56Z	1790389435.433142	1790389435.7033498
rig-cd5	closed	jev-review-tail.jev-build.review.item.1.finalize	-	pass	2026-09-26T02:24:04Z	1790389443.3795614	1790389443.6586945
rig-8sv	closed	jev-review-tail.jev-build.review.item.1.publish	-	pass	2026-09-26T02:24:11Z	1790389450.6392202	1790389450.9022076
rig-0et	closed	jev-build.review-fanout	fanout	pass	2026-09-26T02:24:13Z	-	-
rig-fz0	closed	jev-review-tail.jev-build.review.item.1.review-loop.spec	spec	pass	2026-09-26T02:24:17Z	-	-
rig-4rs	closed	(root)	workflow	pass	2026-09-26T02:24:17Z	-	-
rig-lkj	open	jev-build.workflow-finalize	workflow-finalize	-	-	-	-
